Count,Label,CBG,GEOID
0,Count of Condemnations 2007 - 2017,12.004,4.21E+11
5,Count of Condemnations 2007 - 2017,14.001,4.21E+11
10,Count of Condemnations 2007 - 2017,14.002,4.21E+11
11,Count of Condemnations 2007 - 2017,14.003,4.21E+11
3,Count of Condemnations 2007 - 2017,14.004,4.21E+11
0,Count of Condemnations 2007 - 2017,118.052,4.21E+11
10,Count of Condemnations 2007 - 2017,147.001,4.21E+11
1,Count of Condemnations 2007 - 2017,147.002,4.21E+11
8,Count of Condemnations 2007 - 2017,147.003,4.21E+11
181,Count of Parcels owned by a City Resident,1.001,4.21E+11
228,Count of Parcels owned by a City Resident,1.002,4.21E+11
337,Count of Parcels owned by a City Resident,1.003,4.21E+11
479,Count of Parcels owned by a City Resident,2.001,4.21E+11
410,Count of Parcels owned by a City Resident,2.002,4.21E+11
355,Count of Parcels owned by a City Resident,3.001,4.21E+11
362,Count of Parcels owned by a City Resident,3.002,4.21E+11
348,Count of Parcels owned by a City Resident,3.003,4.21E+11
344,Count of Parcels owned by a City Resident,3.004,4.21E+11
322,Count of Parcels owned by a City Resident,4.001,4.21E+11
185,Count of Parcels owned by a City Resident,4.002,4.21E+11
298,Count of Parcels owned by a City Resident,4.003,4.21E+11
204,Count of Parcels owned by a City Resident,4.004,4.21E+11
281,Count of Parcels owned by a City Resident,5.001,4.21E+11
318,Count of Parcels owned by a City Resident,5.002,4.21E+11
265,Count of Parcels owned by a City Resident,5.003,4.21E+11
179,Count of Parcels owned by a City Resident,5.004,4.21E+11
249,Count of Parcels owned by a City Resident,6.001,4.21E+11
180,Count of Parcels owned by a City Resident,6.002,4.21E+11
271,Count of Parcels owned by a City Resident,6.003,4.21E+11
290,Count of Parcels owned by a City Resident,6.004,4.21E+11
224,Count of Parcels owned by a City Resident,7.001,4.21E+11
214,Count of Parcels owned by a City Resident,7.002,4.21E+11
252,Count of Parcels owned by a City Resident,7.003,4.21E+11
193,Count of Parcels owned by a City Resident,8.001,4.21E+11
226,Count of Parcels owned by a City Resident,8.002,4.21E+11
175,Count of Parcels owned by a City Resident,8.003,4.21E+11
75,Count of Parcels owned by a City Resident,8.004,4.21E+11
129,Count of Parcels owned by a City Resident,9.001,4.21E+11
154,Count of Parcels owned by a City Resident,9.002,4.21E+11
59,Count of Parcels owned by a City Resident,9.003,4.21E+11
348,Count of Parcels owned by a City Resident,9.004,4.21E+11
212,Count of Parcels owned by a City Resident,10.001,4.21E+11
197,Count of Parcels owned by a City Resident,10.002,4.21E+11
253,Count of Parcels owned by a City Resident,10.003,4.21E+11
198,Count of Parcels owned by a City Resident,10.004,4.21E+11
344,Count of Parcels owned by a City Resident,11.001,4.21E+11
405,Count of Parcels owned by a City Resident,11.002,4.21E+11
289,Count of Parcels owned by a City Resident,11.003,4.21E+11
399,Count of Parcels owned by a City Resident,12.001,4.21E+11
680,Count of Parcels owned by a City Resident,12.002,4.21E+11
400,Count of Parcels owned by a City Resident,12.003,4.21E+11
321,Count of Parcels owned by a City Resident,12.004,4.21E+11
214,Count of Parcels owned by a City Resident,14.001,4.21E+11
319,Count of Parcels owned by a City Resident,14.002,4.21E+11
383,Count of Parcels owned by a City Resident,14.003,4.21E+11
303,Count of Parcels owned by a City Resident,14.004,4.21E+11
133,Count of Parcels owned by a City Resident,118.052,4.21E+11
387,Count of Parcels owned by a City Resident,147.001,4.21E+11
229,Count of Parcels owned by a City Resident,147.002,4.21E+11
330,Count of Parcels owned by a City Resident,147.003,4.21E+11
0.69,Arms Length Sales/All Sales (1-Fams),1.001,4.21E+11
0.63,Arms Length Sales/All Sales (1-Fams),1.002,4.21E+11
0.67,Arms Length Sales/All Sales (1-Fams),1.003,4.21E+11
0.61,Arms Length Sales/All Sales (1-Fams),2.001,4.21E+11
0.73,Arms Length Sales/All Sales (1-Fams),2.002,4.21E+11
0.64,Arms Length Sales/All Sales (1-Fams),3.001,4.21E+11
0.74,Arms Length Sales/All Sales (1-Fams),3.002,4.21E+11
0.64,Arms Length Sales/All Sales (1-Fams),3.003,4.21E+11
0.67,Arms Length Sales/All Sales (1-Fams),3.004,4.21E+11
0.61,Arms Length Sales/All Sales (1-Fams),4.001,4.21E+11
0.65,Arms Length Sales/All Sales (1-Fams),4.002,4.21E+11
0.55,Arms Length Sales/All Sales (1-Fams),4.003,4.21E+11
0.71,Arms Length Sales/All Sales (1-Fams),4.004,4.21E+11
0.69,Arms Length Sales/All Sales (1-Fams),5.001,4.21E+11
0.65,Arms Length Sales/All Sales (1-Fams),5.002,4.21E+11
0.64,Arms Length Sales/All Sales (1-Fams),5.003,4.21E+11
0.71,Arms Length Sales/All Sales (1-Fams),5.004,4.21E+11
0.68,Arms Length Sales/All Sales (1-Fams),6.001,4.21E+11
0.38,Arms Length Sales/All Sales (1-Fams),6.002,4.21E+11
0.72,Arms Length Sales/All Sales (1-Fams),6.003,4.21E+11
0.62,Arms Length Sales/All Sales (1-Fams),6.004,4.21E+11
0.68,Arms Length Sales/All Sales (1-Fams),7.001,4.21E+11
0.71,Arms Length Sales/All Sales (1-Fams),7.002,4.21E+11
0.69,Arms Length Sales/All Sales (1-Fams),7.003,4.21E+11
0.46,Arms Length Sales/All Sales (1-Fams),8.001,4.21E+11
0.59,Arms Length Sales/All Sales (1-Fams),8.002,4.21E+11
0.60,Arms Length Sales/All Sales (1-Fams),8.003,4.21E+11
0.30,Arms Length Sales/All Sales (1-Fams),8.004,4.21E+11
0.59,Arms Length Sales/All Sales (1-Fams),9.001,4.21E+11
0.47,Arms Length Sales/All Sales (1-Fams),9.002,4.21E+11
0.27,Arms Length Sales/All Sales (1-Fams),9.003,4.21E+11
0.59,Arms Length Sales/All Sales (1-Fams),9.004,4.21E+11
0.38,Arms Length Sales/All Sales (1-Fams),10.001,4.21E+11
0.40,Arms Length Sales/All Sales (1-Fams),10.002,4.21E+11
0.50,Arms Length Sales/All Sales (1-Fams),10.003,4.21E+11
0.52,Arms Length Sales/All Sales (1-Fams),10.004,4.21E+11
0.69,Arms Length Sales/All Sales (1-Fams),11.001,4.21E+11
0.72,Arms Length Sales/All Sales (1-Fams),11.002,4.21E+11
0.60,Arms Length Sales/All Sales (1-Fams),11.003,4.21E+11
0.68,Arms Length Sales/All Sales (1-Fams),12.001,4.21E+11
0.72,Arms Length Sales/All Sales (1-Fams),12.002,4.21E+11
0.71,Arms Length Sales/All Sales (1-Fams),12.003,4.21E+11
0.72,Arms Length Sales/All Sales (1-Fams),12.004,4.21E+11
0.41,Arms Length Sales/All Sales (1-Fams),14.001,4.21E+11
0.57,Arms Length Sales/All Sales (1-Fams),14.002,4.21E+11
